threshold,precision,recall,f1,fpr,fnr,auroc,auprc,kind
-0.7384515023223008,0.5,1.0,0.6666666666666666,1.0,0.0,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.7384515013223009,0.4827586206896552,0.9333333333333333,0.6363636363636364,1.0,0.06666666666666667,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.7332390595524019,0.4782608695652174,0.9166666666666666,0.6285714285714286,1.0,0.08333333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.7255404552979396,0.4864864864864865,0.9,0.631578947368421,0.95,0.1,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.7130259514494964,0.4722222222222222,0.85,0.6071428571428571,0.95,0.15,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.7107295606052081,0.4672897196261682,0.8333333333333334,0.5988023952095808,0.95,0.16666666666666666,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6983151547817538,0.46226415094339623,0.8166666666666667,0.5903614457831325,0.95,0.18333333333333332,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6952810000325763,0.44660194174757284,0.7666666666666667,0.5644171779141104,0.95,0.23333333333333334,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.681363050798267,0.46,0.7666666666666667,0.575,0.9,0.23333333333333334,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6773373333056929,0.45454545454545453,0.75,0.5660377358490566,0.9,0.25,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6747165419389994,0.4574468085106383,0.7166666666666667,0.5584415584415584,0.85,0.2833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6694455220941218,0.4725274725274725,0.7166666666666667,0.5695364238410596,0.8,0.2833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6605323556500596,0.524390243902439,0.7166666666666667,0.6056338028169014,0.65,0.2833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6296418682200616,0.4935064935064935,0.6333333333333333,0.5547445255474452,0.65,0.36666666666666664,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6074731763946349,0.49295774647887325,0.5833333333333334,0.534351145038168,0.6,0.4166666666666667,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.6058923975846169,0.5074626865671642,0.5666666666666667,0.5354330708661418,0.55,0.43333333333333335,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.590073474319526,0.5,0.55,0.5238095238095238,0.55,0.45,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.5842345610642374,0.484375,0.5166666666666667,0.5000000000000001,0.55,0.48333333333333334,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.5645288729495452,0.47619047619047616,0.5,0.4878048780487805,0.55,0.5,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.5498359043915787,0.45901639344262296,0.4666666666666667,0.46280991735537197,0.55,0.5333333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.42453977119605296,0.47368421052631576,0.45,0.46153846153846156,0.5,0.55,0.41250000000000003,0.4346958838467438,oracle_candidate
-0.31443739283144145,0.47058823529411764,0.4,0.4324324324324324,0.45,0.6,0.41250000000000003,0.4346958838467438,oracle_candidate
0.30480476442907106,0.45454545454545453,0.3333333333333333,0.3846153846153846,0.4,0.6666666666666666,0.41250000000000003,0.4346958838467438,oracle_candidate
0.3254657075420012,0.4146341463414634,0.2833333333333333,0.3366336633663366,0.4,0.7166666666666667,0.41250000000000003,0.4346958838467438,oracle_candidate
0.6799461010634675,0.4,0.26666666666666666,0.32,0.4,0.7333333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
0.8221002224071502,0.35135135135135137,0.21666666666666667,0.26804123711340205,0.4,0.7833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
1.0557143237904576,0.38235294117647056,0.21666666666666667,0.2765957446808511,0.35,0.7833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
1.0678253555997146,0.34375,0.18333333333333332,0.23913043478260868,0.35,0.8166666666666667,0.41250000000000003,0.4346958838467438,oracle_candidate
1.117490086445602,0.3333333333333333,0.15,0.20689655172413793,0.3,0.85,0.41250000000000003,0.4346958838467438,oracle_candidate
1.1393834790875088,0.3076923076923077,0.13333333333333333,0.18604651162790697,0.3,0.8666666666666667,0.41250000000000003,0.4346958838467438,oracle_candidate
1.1436705175778648,0.25,0.08333333333333333,0.125,0.25,0.9166666666666666,0.41250000000000003,0.4346958838467438,oracle_candidate
1.1557746787534537,0.16666666666666666,0.05,0.07692307692307691,0.25,0.95,0.41250000000000003,0.4346958838467438,oracle_candidate
1.3125788864242793,0.2,0.05,0.08000000000000002,0.2,0.95,0.41250000000000003,0.4346958838467438,oracle_candidate
1.3405883276226127,0.07692307692307693,0.016666666666666666,0.0273972602739726,0.2,0.9833333333333333,0.41250000000000003,0.4346958838467438,oracle_candidate
1.3932768480375752,0.0,0.0,0.0,0.2,1.0,0.41250000000000003,0.4346958838467438,oracle_candidate
1.4654412457169594,0.0,0.0,0.0,0.15,1.0,0.41250000000000003,0.4346958838467438,oracle_candidate
1.5225859643615494,0.0,0.0,0.0,0.1,1.0,0.41250000000000003,0.4346958838467438,oracle_candidate
3.102873879449994,0.0,0.0,0.0,0.0,1.0,0.41250000000000003,0.4346958838467438,oracle_candidate
3.102873880449994,0.0,0.0,0.0,0.0,1.0,0.41250000000000003,0.4346958838467438,oracle_candidate
2.200418587433256,0.0,0.0,0.0,0.1,1.0,0.41250000000000003,0.4346958838467438,quantile_0.95
