method,filter_strategy,quantile,threshold,target_normal_fpr,precision,recall,f1,auroc,auprc
source_only,,0.8,0.29628211412138317,0.996,0.03488372093023256,1.0,0.06741573033707865,0.4003333333333333,0.07934165001978682
source_only,,0.85,1.0985013848412826,0.98,0.021956087824351298,0.6111111111111112,0.04238921001926782,0.4003333333333333,0.07934165001978682
source_only,,0.9,1.4149984766520427,0.966,0.022267206477732792,0.6111111111111112,0.04296874999999999,0.4003333333333333,0.07934165001978682
source_only,,0.95,2.2675604292669784,0.864,0.02040816326530612,0.5,0.039215686274509796,0.4003333333333333,0.07934165001978682
source_only,,0.975,2.5853674199535908,0.858,0.018306636155606407,0.4444444444444444,0.035164835164835165,0.4003333333333333,0.07934165001978682
source_only,,0.99,3.9136469821853206,0.78,0.017632241813602016,0.3888888888888889,0.033734939759036145,0.4003333333333333,0.07934165001978682
source_plus_raw_synthetic,no_filter,0.8,0.2637913693298384,0.814,0.030952380952380953,0.7222222222222222,0.05936073059360731,0.4041111111111111,0.04482979281105697
source_plus_raw_synthetic,no_filter,0.85,0.6737509263001219,0.794,0.017326732673267328,0.3888888888888889,0.03317535545023697,0.4041111111111111,0.04482979281105697
source_plus_raw_synthetic,no_filter,0.9,1.0075150936868127,0.732,0.01876675603217158,0.3888888888888889,0.03580562659846547,0.4041111111111111,0.04482979281105697
source_plus_raw_synthetic,no_filter,0.95,2.427744385230172,0.276,0.04827586206896552,0.3888888888888889,0.08588957055214724,0.4041111111111111,0.04482979281105697
source_plus_raw_synthetic,no_filter,0.975,3.0995947774073134,0.146,0.0875,0.3888888888888889,0.14285714285714285,0.4041111111111111,0.04482979281105697
source_plus_raw_synthetic,no_filter,0.99,4.289589737798329,0.118,0.016666666666666666,0.05555555555555555,0.02564102564102564,0.4041111111111111,0.04482979281105697
source_plus_tof_synthetic,iqr_1.5,0.8,0.3568494794018241,0.82,0.030732860520094562,0.7222222222222222,0.058956916099773236,0.37377777777777776,0.03493384364351507
source_plus_tof_synthetic,iqr_1.5,0.85,0.596212073219398,0.81,0.01699029126213592,0.3888888888888889,0.03255813953488372,0.37377777777777776,0.03493384364351507
source_plus_tof_synthetic,iqr_1.5,0.9,1.2594376692176539,0.79,0.017412935323383085,0.3888888888888889,0.03333333333333334,0.37377777777777776,0.03493384364351507
source_plus_tof_synthetic,iqr_1.5,0.95,2.3821267867600713,0.604,0.022653721682847898,0.3888888888888889,0.04281345565749236,0.37377777777777776,0.03493384364351507
source_plus_tof_synthetic,iqr_1.5,0.975,3.3595286584319264,0.306,0.04375,0.3888888888888889,0.07865168539325841,0.37377777777777776,0.03493384364351507
source_plus_tof_synthetic,iqr_1.5,0.99,3.7371754711418808,0.278,0.04794520547945205,0.3888888888888889,0.08536585365853658,0.37377777777777776,0.03493384364351507
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.8,0.4129974499574212,0.958,0.01440329218106996,0.3888888888888889,0.02777777777777778,0.354,0.044437921196558296
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.85,0.6988565384140076,0.772,0.017811704834605598,0.3888888888888889,0.0340632603406326,0.354,0.044437921196558296
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.9,1.4799876824828273,0.646,0.021212121212121213,0.3888888888888889,0.040229885057471264,0.354,0.044437921196558296
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.95,2.2512667209397663,0.35,0.038461538461538464,0.3888888888888889,0.06999999999999999,0.354,0.044437921196558296
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.975,2.8220400329409934,0.19,0.06862745098039216,0.3888888888888889,0.11666666666666667,0.354,0.044437921196558296
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.99,3.9348297317073238,0.096,0.0,0.0,0.0,0.354,0.044437921196558296
oracle_target,,0.8,0.0024667628049471766,0.084,0.14285714285714285,0.3888888888888889,0.208955223880597,0.8402222222222222,0.17035549707523828
oracle_target,,0.85,0.14690077720827527,0.074,0.1590909090909091,0.3888888888888889,0.22580645161290322,0.8402222222222222,0.17035549707523828
oracle_target,,0.9,0.6417594228695446,0.048,0.22580645161290322,0.3888888888888889,0.2857142857142857,0.8402222222222222,0.17035549707523828
oracle_target,,0.95,2.0382226836167825,0.014,0.0,0.0,0.0,0.8402222222222222,0.17035549707523828
oracle_target,,0.975,3.6880752474753753,0.002,0.0,0.0,0.0,0.8402222222222222,0.17035549707523828
oracle_target,,0.99,4.971061564623134,0.002,0.0,0.0,0.0,0.8402222222222222,0.17035549707523828
