dataset,transition,source_context,target_context,mapping_type,method,filter_strategy,target_normal_count,target_anomaly_count,synthetic_count,kept_count,rejected_count,target_normal_fpr,precision,recall,f1,auroc,auprc,adaptation_gain,status,missing_reason
fr,seasonal,winter,spring,smartguard_numeric,source_only,,252,234,0,0,0,0.5992063492063492,0.3463203463203463,0.3418803418803419,0.34408602150537637,0.3142043142043142,0.366095440846069,,success,
fr,seasonal,winter,spring,smartguard_numeric,source_plus_raw_synthetic,no_filter,252,234,500,500,0,0.3055555555555556,0.18947368421052632,0.07692307692307693,0.10942249240121582,0.3128985212318546,0.37458919527109213,0.2936507936507936,success,
fr,seasonal,winter,spring,smartguard_numeric,source_plus_tof_synthetic,iqr_1.5,252,234,500,490,10,0.14285714285714285,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.3660120743454077,0.40728357546579186,0.45634920634920634,success,
fr,seasonal,winter,spring,smartguard_numeric,source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,252,234,500,441,59,0.1388888888888889,0.4067796610169492,0.10256410256410256,0.16382252559726962,0.35639668973002303,0.40382825157949165,0.4603174603174603,success,
fr,seasonal,winter,spring,smartguard_numeric,oracle_target,,252,234,0,0,0,0.08333333333333333,0.631578947368421,0.15384615384615385,0.24742268041237114,0.6510819427486094,0.5825481901913431,0.5158730158730158,success,
sp,seasonal,winter,spring,smartguard_numeric,source_only,,500,18,0,0,0,0.864,0.02040816326530612,0.5,0.039215686274509796,0.4003333333333333,0.07934165001978682,,success,
sp,seasonal,winter,spring,smartguard_numeric,source_plus_raw_synthetic,no_filter,500,18,500,500,0,0.276,0.04827586206896552,0.3888888888888889,0.08588957055214724,0.4041111111111111,0.04482979281105697,0.588,success,
sp,seasonal,winter,spring,smartguard_numeric,source_plus_tof_synthetic,iqr_1.5,500,18,500,470,30,0.604,0.022653721682847898,0.3888888888888889,0.04281345565749236,0.37377777777777776,0.03493384364351507,0.26,success,
sp,seasonal,winter,spring,smartguard_numeric,source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,500,18,500,423,77,0.35,0.038461538461538464,0.3888888888888889,0.06999999999999999,0.354,0.044437921196558296,0.514,success,
sp,seasonal,winter,spring,smartguard_numeric,oracle_target,,500,18,0,0,0,0.014,0.0,0.0,0.0,0.8402222222222222,0.17035549707523828,0.85,success,
us,seasonal,winter,spring,smartgen_textual,source_only,,500,481,0,0,0,0.682,0.3788706739526412,0.43243243243243246,0.40388349514563104,0.2787027027027027,0.3587331983946084,,success,
us,seasonal,winter,spring,smartgen_textual,source_plus_raw_synthetic,no_filter,500,481,198,198,0,0.4,0.3288590604026846,0.20374220374220375,0.251604621309371,0.33158004158004156,0.3784964221204378,0.28200000000000003,success,
us,seasonal,winter,spring,smartgen_textual,source_plus_tof_synthetic,iqr_1.5,500,481,198,198,0,0.368,0.30038022813688214,0.16424116424116425,0.21236559139784947,0.32812058212058215,0.37725177880054606,0.31400000000000006,success,
us,seasonal,winter,spring,smartgen_textual,source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,500,481,198,179,19,0.466,0.3436619718309859,0.25363825363825365,0.291866028708134,0.33402910602910607,0.3790029457885835,0.21600000000000003,success,
us,seasonal,winter,spring,smartgen_textual,oracle_target,,500,481,0,0,0,0.038,0.3448275862068966,0.02079002079002079,0.0392156862745098,0.4216299376299376,0.4385696741212563,0.644,success,
